date,S
2021-01-04,113.3
2021-01-05,113.54
2021-01-06,115.74
2021-01-07,115.81
2021-01-08,117.63
2021-01-11,117.65
2021-01-12,117.86
2021-01-13,117.84
2021-01-14,115.62
2021-01-15,115.19
2021-01-19,114.88
2021-01-20,114.69
2021-01-21,112.92
2021-01-22,111.92
2021-01-25,112.46
2021-01-26,112.65
2021-01-27,109.35
2021-01-28,112.61
2021-01-29,110.35
2021-02-01,113.41
2021-02-02,116.78
2021-02-03,115.3
2021-02-04,114.55
2021-02-05,114.19
2021-02-08,113.46
2021-02-09,113.26
2021-02-10,111.66
2021-02-11,111.3
2021-02-12,111.07
2021-02-16,112.42
2021-02-17,112.78
2021-02-18,113.86
2021-02-19,113.35
2021-02-22,111.72
2021-02-23,111.42
2021-02-24,111.46
2021-02-25,112.0
2021-02-26,110.31
2021-03-01,113.74
2021-03-02,113.62
2021-03-03,111.64
2021-03-04,111.13
2021-03-05,114.97
2021-03-08,113.74
2021-03-09,114.41
2021-03-10,115.58
2021-03-11,115.2
2021-03-12,115.32
2021-03-15,115.66
2021-03-16,114.66
2021-03-17,113.7
2021-03-18,111.64
2021-03-19,111.2
2021-03-22,111.55
2021-03-23,111.65
2021-03-24,112.61
2021-03-25,112.28
2021-03-26,113.64
2021-03-29,113.28
2021-03-30,111.23
2021-03-31,111.68
2021-04-01,114.2
2021-04-05,115.11
2021-04-06,113.91
2021-04-07,114.75
2021-04-08,116.04
2021-04-09,117.17
2021-04-12,117.71
2021-04-13,118.72
2021-04-14,118.19
2021-04-15,119.86
2021-04-16,120.73
2021-04-19,119.74
2021-04-20,119.76
2021-04-21,119.53
2021-04-22,119.84
2021-04-23,121.27
2021-04-26,120.86
2021-04-27,121.23
2021-04-28,119.07
2021-04-29,117.68
2021-04-30,117.71
2021-05-03,115.46
2021-05-04,114.54
2021-05-05,114.72
2021-05-06,113.62
2021-05-07,114.81
2021-05-10,114.28
2021-05-11,113.07
2021-05-12,111.46
2021-05-13,112.17
2021-05-14,113.26
2021-05-17,112.47
2021-05-18,110.76
2021-05-19,110.74
2021-05-20,111.96
2021-05-21,113.16
2021-05-24,112.97
2021-05-25,112.38
2021-05-26,112.37
2021-05-27,112.02
2021-05-28,112.88
2021-06-01,109.81
2021-06-02,111.75
2021-06-03,111.6
2021-06-04,112.18
2021-06-07,110.4
2021-06-08,111.08
2021-06-09,110.85
2021-06-10,111.72
2021-06-11,112.67
2021-06-14,113.84
2021-06-15,114.04
2021-06-16,113.84
2021-06-17,114.02
2021-06-18,112.76
2021-06-21,113.7
2021-06-22,114.45
2021-06-23,116.64
2021-06-24,118.09
2021-06-25,119.32
2021-06-28,118.79
2021-06-29,118.76
2021-06-30,118.7
2021-07-01,118.84
2021-07-02,118.83
2021-07-06,117.98
2021-07-07,118.0
2021-07-08,118.06
2021-07-09,118.97
2021-07-12,119.06
2021-07-13,118.69
2021-07-14,118.18
2021-07-15,117.99
2021-07-16,118.06
2021-07-19,117.36
2021-07-20,119.14
2021-07-21,120.23
2021-07-22,120.37
2021-07-23,121.36
2021-07-26,120.43
2021-07-27,121.05
2021-07-28,121.32
2021-07-29,120.82
2021-07-30,119.83
2021-08-02,119.43
2021-08-03,119.12
2021-08-04,119.53
2021-08-05,119.42
2021-08-06,120.0
2021-08-09,119.97
2021-08-10,119.59
2021-08-11,118.72
2021-08-12,118.04
2021-08-13,116.88
2021-08-16,118.04
2021-08-17,117.61
2021-08-18,115.39
2021-08-19,116.38
2021-08-20,117.15
2021-08-23,118.07
2021-08-24,117.4
2021-08-25,117.3
2021-08-26,117.55
2021-08-27,118.41
2021-08-30,119.36
2021-08-31,119.53
2021-09-01,120.62
2021-09-02,120.73
2021-09-03,121.13
2021-09-07,118.74
2021-09-08,119.74
2021-09-09,119.45
2021-09-10,118.84
2021-09-13,118.55
2021-09-14,119.26
2021-09-15,118.76
2021-09-16,118.93
2021-09-17,117.7
2021-09-20,116.83
2021-09-21,116.74
2021-09-22,116.91
2021-09-23,118.91
2021-09-24,119.74
2021-09-27,118.64
2021-09-28,116.55
2021-09-29,116.9
2021-09-30,114.82
2021-10-01,115.4
2021-10-04,114.7
2021-10-05,118.08
2021-10-06,122.62
2021-10-07,126.4
2021-10-08,128.10001
2021-10-11,127.57
2021-10-12,127.54
2021-10-13,128.35001
2021-10-14,128.75
2021-10-15,129.39
2021-10-18,130.3
2021-10-19,130.91
2021-10-20,130.22
2021-10-21,129.61
2021-10-22,131.60001
2021-10-25,133.03999
2021-10-26,133.72
2021-10-27,132.96001
2021-10-28,135.49001
2021-10-29,138.46001
2021-11-01,137.13
2021-11-02,138.81
2021-11-03,137.19
2021-11-04,136.52
2021-11-05,136.08
2021-11-08,135.75
2021-11-09,135.48
2021-11-10,134.21001
2021-11-11,134.0
2021-11-12,135.28999
2021-11-15,135.28999
2021-11-16,136.07001
2021-11-17,136.27
2021-11-18,135.37
2021-11-19,133.3
2021-11-22,132.98
2021-11-23,132.05
2021-11-24,132.27
2021-11-26,129.67999
2021-11-29,131.89999
2021-11-30,130.72
2021-12-01,129.02
2021-12-02,131.22
2021-12-03,130.19
2021-12-06,130.86
2021-12-07,134.00999
2021-12-08,135.56
2021-12-09,134.60001
2021-12-10,135.53999
2021-12-13,135.58
2021-12-14,133.81
2021-12-15,135.12
2021-12-16,135.99001
2021-12-17,133.38
2021-12-20,132.56
2021-12-21,134.06
2021-12-22,135.24001
2021-12-23,135.84
2021-12-27,137.75
2021-12-28,137.63
2021-12-29,137.24001
2021-12-30,136.78
2021-12-31,136.77
2022-01-03,133.95
2022-01-04,134.07001
2022-01-05,132.39
2022-01-06,133.16
2022-01-07,133.25
2022-01-10,131.5
2022-01-11,131.95
2022-01-12,133.48
2022-01-13,129.56
2022-01-14,126.6
2022-01-18,126.38
2022-01-19,125.81
2022-01-20,126.12
2022-01-21,125.64
2022-01-24,125.32
2022-01-25,123.95
2022-01-26,122.15
2022-01-27,122.4
2022-01-28,124.35
2022-01-31,126.66
2022-02-01,127.04
2022-02-02,129.03
2022-02-03,127.89
2022-02-04,129.75999
2022-02-07,127.68
2022-02-08,127.59
2022-02-09,129.05
2022-02-10,126.72
2022-02-11,125.93
2022-02-14,124.84
2022-02-15,125.22
2022-02-16,125.72
2022-02-17,123.25
2022-02-18,122.87
2022-02-22,123.12
2022-02-23,123.69
2022-02-24,127.92
2022-02-25,128.47
2022-02-28,128.12
2022-03-01,127.75
2022-03-02,129.95
2022-03-03,131.39999
2022-03-04,135.7
2022-03-07,132.39
2022-03-08,124.67
2022-03-09,128.78
2022-03-10,129.56
2022-03-11,126.36
2022-03-14,126.22
2022-03-15,130.25999
2022-03-16,131.62
2022-03-17,133.60001
2022-03-18,136.89999
2022-03-21,135.97
2022-03-22,136.39999
2022-03-23,134.89999
2022-03-24,135.09
2022-03-25,135.25999
2022-03-28,135.17999
2022-03-29,132.64999
2022-03-30,134.35001
2022-03-31,132.12
2022-04-01,132.7
2022-04-04,130.62
2022-04-05,130.53
2022-04-06,129.13
2022-04-07,129.88
2022-04-08,129.89
2022-04-11,128.10001
2022-04-12,124.83
2022-04-13,125.83
2022-04-14,124.53
2022-04-18,122.62
2022-04-19,122.93
2022-04-20,123.85
2022-04-21,120.71
2022-04-22,117.25
2022-04-25,116.85
2022-04-26,114.33
2022-04-27,116.7
2022-04-28,119.25
2022-04-29,115.81
2022-05-02,113.48
2022-05-03,114.48
2022-05-04,109.86
2022-05-05,101.63
2022-05-06,99.81
2022-05-09,96.99
2022-05-10,96.47
2022-05-11,94.55
2022-05-12,95.5
2022-05-13,98.27
2022-05-16,97.31
2022-05-17,99.12
2022-05-18,95.11
2022-05-19,95.9
2022-05-20,97.62
2022-05-23,98.11
2022-05-24,98.36
2022-05-25,97.52
2022-05-26,99.53
2022-05-27,102.7
2022-05-31,102.39
2022-06-01,101.99
2022-06-02,102.9
2022-06-03,100.94
2022-06-06,100.86
2022-06-07,101.76
2022-06-08,101.38
2022-06-09,99.5
2022-06-10,97.78
2022-06-13,96.82
2022-06-14,94.05
2022-06-15,95.63
2022-06-16,94.85
2022-06-17,90.33
2022-06-21,93.81
2022-06-22,93.96
2022-06-23,96.68
2022-06-24,97.91
2022-06-27,98.68
2022-06-28,96.75
2022-06-29,96.41
2022-06-30,94.04
2022-07-01,95.23
2022-07-05,96.02
2022-07-06,95.5
2022-07-07,96.68
2022-07-08,95.87
2022-07-11,94.54
2022-07-12,93.34
2022-07-13,94.49
2022-07-14,93.62
2022-07-15,95.83
2022-07-18,94.88
2022-07-19,96.81
2022-07-20,98.44
2022-07-21,99.47
2022-07-22,99.11
2022-07-25,98.97
2022-07-26,97.64
2022-07-27,97.51
2022-07-28,102.56
2022-07-29,101.99
2022-08-01,100.4
2022-08-02,100.66
2022-08-03,103.02
2022-08-04,107.44
2022-08-05,105.02
2022-08-08,104.3
2022-08-09,104.91
2022-08-10,106.05
2022-08-11,106.63
2022-08-12,109.68
2022-08-15,109.6
2022-08-16,111.06
2022-08-17,111.7
2022-08-18,112.62
2022-08-19,109.09
2022-08-22,107.83
2022-08-23,106.45
2022-08-24,106.92
2022-08-25,107.01
2022-08-26,103.59
2022-08-29,101.59
2022-08-30,100.51
2022-08-31,100.85
2022-09-01,102.04
2022-09-02,101.28
2022-09-06,99.91
2022-09-07,102.3
